"","year","Armenia","Austria","Azerbaijan","Belarus","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Georgia","German Federal Republic","Greece","Hungary","Ireland","Italy","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Luxembourg","Malta","Moldova","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Tajikistan","Turkmenistan","Ukraine","United Kingdom","Uzbekistan"
"1",1992,"0.31",".3013699","0.23","0.21",".369863",".3333333",".4411765",".1666667",NA,".3287671",".2898551",".3013699",".3888889",NA,".369863",".2739726",".3521127",".2916667",".369863","0.24","0.2",".3142857",".3",".369863",".2916667","0.3",".369863",".3194444",".3287671",".3472222",NA,".3508772",".3013699",".3013699","0.1","0.21","0.23",".5068493",NA
"2",1993,"0.25",".3650794","0.22","0.19",".40625",".3650794",".3902439",".1875",".40625",".375",".2881356",".359375",".483871","0.33",".4375",".328125",".3650794",".3492063",".40625","0.21","0.27",".3389831",".3275862",".40625",".3225806","0.35",".421875",".359375",".390625",".3606557",".3650794",".3278689",".3650794",".359375","0.24","0.21","0.2",".546875",NA
"3",1994,"0.31",".4117647","0.3","0.28",".4411765",".3880597",".3442623",".2941176",".4179104",".4411765",".328125",".4264706",".5757576","0.34",".4477612",".4117647",".4558824",".3823529",".4411765","0.29","0.27",".40625",".4137931",".4411765",".4117647","0.35",".4477612",".4117647",".4411765",".4029851",".4262295",".3787879",".4264706",".3823529","0.32","0.29","0.3",".641791","0.3"
"4",1995,"0.32",".382716","0.25","0.26",".4074074",".382716",".3421053",".2469136",".4",".4074074",".3815789",".3950617",".4556962","0.51",".4197531",".3580247",".4459459",".3703704",".4125","0.28","0.3",".4558824",".3875",".4074074",".345679","0.38",".4197531",".4177215",".3950617",".375",".3950617",".3846154",".3950617",".382716","0.47","0.54","0.25",".6666667","0.52"
"5",1996,"0.33",".4594595","0.25","0.27",".4794521",".4324324",".4492754",".3783784",".5",".5",".4444444",".5",".5342466","0.34",".5",".2142857",".5068493",".4459459",".5","0.34","0.29",".4782609",".4657534",".5",".3611111","0.41",".5068493",".4794521",".4931507",".4657534",".4794521",".4861111",".4794521",".472973","0.37","0.5","0.33",".6081081","0.41"
"6",1997,"0.32",".4637681","0.28","0.25",".4782609",".4264706",".4242424",".3478261",".4637681",".4782609",".4411765",".4637681",".5217391","0.31",".4782609",".4492754",".4626866",".4492754",".4782609","0.29","0.29",".4626866",".4347826",".4852941",".3382353","0.41",".4927536",".4637681",".4637681",".4347826",".4347826",".4411765",".4637681",".4782609","0.33","0.3","0.3",".5797101","0.51"
"7",1998,"0.2",".4098361","0.24","0.2",".4262295",".4333333",".3898305",".3114754",".4333333",".4098361",".4098361",".4098361",".4666667","0.24",".4262295",".4098361",".442623",".3934426",".4262295","0.27","0.24",".4237288",".4098361",".4262295",".3278689","0.37",".4262295",".4262295",".4098361",".4333333",".4262295",".4098361",".4098361",".4098361","0.27","0.29","0.25",".5245902","0.29"
"8",1999,"0.23",".3970588","0.25","0.17",".4264706",".4307692",".3787879",".3676471",".4117647",".4411765",".4264706",".4117647",".4705882","0.32",".4558824",".4117647",".4558824",".3823529",".4117647","0.33",NA,".3939394",".4117647",".4264706",".3970588","0.38",".4411765",".4264706",".4117647",".4264706",".4117647",".4179104",".4117647",".4117647","0.2","0.31","0.28",".5294118","0.33"
"9",2000,"0.23",".3939394","0.24","0.22",".4179104",".4029851",".358209",".3432836",".4179104",".4179104",".4126984",".4029851",".4179104","0.34",".4179104",".4029851",".4179104",".3731343",".3939394","0.27","0.21",".4153846",".4090909",".4179104",".3880597","0.39",".4179104",".4179104",".4029851",".4029851",".4029851",".4029851",".4029851",".3880597","0.29","0.27","0.31",".5074627","0.38"
"10",2001,"0.22",".358209","0.13","0.14",".3880597",".3787879",".3333333",".3283582",".3880597",".4029851",".3809524",".3731343",".4461538","0.28",".3880597",".3731343",".40625",".3432836",".3846154","0.17",NA,".3692308",".390625",".3939394",".3636364","0.35",".3880597",".3880597",".3731343",".3787879",".358209",".3846154",".3731343",".358209",NA,"0.13","0.27",".4776119",NA
"11",2002,"0.17",".3055556","0.11","0.09",".3239437",".3239437",".2916667",".2916667",".3239437",".3239437",".3098592",".3055556",".3888889","0.27",".3142857",".3194444",".3239437",".2777778",".3472222","0.18","0.2",".3",".3055556",".3194444",".3055556","0.3",".3239437",".3333333",".3382353",".3239437",".3194444",".3055556",".3333333",".2916667","0.15","0.08","0.22",".4305556","0.18"
"12",2003,"0.19",".3289474","0.14","0.15",".3866667",".3684211",".3289474",".3157895",".3684211",".3815789",".36",".3684211",".4342105","0.31",".3947368",".3552632",".3684211",".3157895",".3815789","0.18","0.16",".3684211",".3947368",".3947368",".3421053","0.25",".3815789",".4054054",".36",".3513514",".3552632",".3466667",".3552632",".3552632","0.22","0.1","0.22",".4868421","0.21"
"13",2004,"0.16",".3521127","0.12","0.06",".3478261",".3521127",".3521127",".3380282",".3571429",".3661972",".3188406",".3521127",".4","0.27",".3714286",".3623188",".3571429",".3380282",".3571429","0.12","0.11",".3823529",".3521127",".3478261",".3428571","0.26",".3521127",".3857143",".3661972",".3521127",".3661972",".3661972",".3521127",".3380282","0.11","0.02","0.2",".4507042","0.1"
"14",2005,"0.14",".3150685","0.1","0.1",".3287671",".3287671",".3150685",".3013699",".3287671",".3424658",".3055556",".3287671",".3835616","0.31",".3150685",".3150685",".3287671",".3013699",".3194444","0.14","0.11",".3424658",".3287671",".3287671",".2876712","0.27",".3424658",".3287671",".3150685",".3287671",".3287671",".3287671",".3150685",".3150685","0.07","0.07","0.21",".4520548","0.08"
"15",2006,"0.09",".2298851","0.08","0.07",".244186",".2643678",".2413793",".2352941",".2758621",".2643678",".2413793",".2413793",".3218391","0.24",".2528736",".2528736",".2528736",".2298851",".2413793","0.1","0.06",".2643678",".2643678",".2674419",".2470588","0.27",".2528736",".255814",".2643678",".2470588",".2470588",".2528736",".2643678",".2298851","0.06","0.07","0.25",".3563218","0.07"
"16",2007,"0.12",".2727273","0.07","0.05",".2987013",".2857143",".2894737",".2857143",".3289474",".2987013",".2987013",".2857143",".4078947","0.29",".2987013",".2987013",".3380282",".2727273",".2987013","0.09","0.05",".3116883",".3116883",".2987013",".2727273","0.27",".3116883",".3116883",".2987013",".2857143",".3116883",".2987013",".2857143",".2857143","0.03","0.04","0.31",".3896104","0.07"
"17",2008,"0.11",".25","0.07","0.06",".2638889",".2676056",".2638889",".2638889",".2777778",".2816901",".2638889",".2638889",".3472222","0.24",".2638889",".2638889",".2638889",".25",".2638889","0.11","0.08",".2676056",".2638889",".2676056",".2535211","0.26",".2816901",".2777778",".2638889",".2777778",".2638889",".2676056",".2638889",".25","0.06","0.08","0.28",".3943662","0.06"
"18",2009,"0.18",".3880597","0.11","0.08",".4179104",".4242424",".3939394",".3880597",".4626866",".4477612",".4328358",".3880597",".4776119","0.4",".4477612",".4179104",".4242424",".3880597",".4328358","0.15","0.09",".4179104",".4328358",".4242424",".3880597","0.4",".4626866",".4626866",".4029851",".4179104",".4477612",".4029851",".4029851",".4029851","0.08","0.08","0.41",".5373134000000001","0.1"
"19",2010,"0.16",".3484848","0.11","0.11",".3939394",".3846154",".3538462",".3484848",".3939394",".3939394",".3939394",".3636364",".469697","0.34",".3939394",".1428571",".3939394",".3484848",".3709677","0.16","0.16",".390625",".3939394",".3787879",".3484848","0.36",".3939394",".3846154",".3787879",".3636364",".3787879",".3787879",".3636364",".3636364","0.15","0.13","0.35",".5454545","0.11"
"20",2011,"0.24",".4615385","0.19","0.13",".5076923",".5",".5254237000000001",".4769231",".5076923",".5076923",".5076923",".4769231",".5538462","0.5",".4923077",".4923077",".5076923",".4769231",".4923077","0.26","0.19",".5076923",".5076923",".4923077",".4615385","0.48",".515625",".5076923",".4923077",".484375",".5076923",".4923077",".5076923",".484375","0.17","0.13","0.45",".6","0.14"
"21",2012,"0.18",".3382353","0.14","0.12",".3731343",".3584906",".3432836",".3529412",".3970588",".3676471",".3731343",".3529412",".4852941","0.31",".3676471",".358209",".3676471",".3382353",".3676471","0.17","0.15",".358209",".3676471",".3676471",".3382353","0.35",".3676471",".3676471",".3676471",".3529412",".3676471",".3676471",".3676471",".3382353","0.14","0.12","0.33",".5396825","0.14"
"22",2013,"0.17",".390625","0.17","0.14",".4285714",".421875",".4126984",".390625",".46875",".4375",".4285714",".4375",".515625","0.37",".4603175",".4126984",".453125",".3968254",".4375","0.16","0.14",".4354839",".4375",".4375",".3809524","0.4",".4375",".4285714",".4126984",".40625",".4375",".421875",".421875",".40625","0.12","0.09","0.39",".59375","0.13"
"23",2014,"0.21",".3676471","0.2","0.17",".3880597",".3823529",".3692308",".3676471",".3970588",".3970588",".3823529",".3823529",".5","0.38",".4411765",".3676471",".3970588",".3965517",".3823529","0.21","0.18",".3823529",".3823529",".3823529",".358209","0.34",".3970588",".3823529",".3787879",".3676471",".3823529",".3676471",".3676471",".3529412","0.17","0.2","0.37",".5735294","0.15"
"24",2015,"0.25",".3972603","0.15","0.16",".4794521",".4520548",".4657534",".4225352",".5138889",".4794521",".5205479",".4383562",".5753425","0.4",".5070423",".4246575",".5068493",".3972603",".4794521","0.21","0.18",".5205479",".5068493",".4794521",".3888889","0.4",".4794521",".5205479",".4383562",".4657534",".4794521",".4657534",".4861111",".3972603","0.19","0.12","0.46",".630137","0.17"
