"","Seller","Order date","Armenia","Azerbaijan","Belarus","Bulgaria","Croatia","Cyprus","Czechia","Finland","Greece","Hungary","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Poland","Romania","Serbia","Slovakia","Slovenia","Tajikistan","Turkey","Turkmenistan","United Kingdom","Uzbekistan"
"1","Russia",1970,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Russia",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"3","Russia",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"4","Russia",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","Russia",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"6","Russia",1985,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Russia",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","Russia",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Russia",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"10","Russia",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"11","Russia",1991,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Russia",1992,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,NA,NA,NA,NA,3,NA,NA,NA
"13","Russia",1993,5,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,1,1,NA,2,NA,1,1,NA,NA,NA
"14","Russia",1994,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Russia",1995,8,NA,NA,2,NA,2,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"16","Russia",1996,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"17","Russia",1997,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"18","Russia",1998,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Russia",1999,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Russia",2000,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Russia",2001,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"22","Russia",2002,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"23","Russia",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"24","Russia",2004,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"25","Russia",2005,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Russia",2006,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA
"27","Russia",2007,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"28","Russia",2008,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,5,NA,NA
"29","Russia",2009,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA
"30","Russia",2010,1,4,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA
"31","Russia",2011,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Russia",2012,1,3,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"33","Russia",2013,2,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"34","Russia",2014,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"35","Russia",2015,2,NA,4,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"36","Russia",2016,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"37","Russia",2017,1,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
