"","year","country_origin_id","country_destination_id","hs92_product_id","import_val","import_val_pct","countT","per"
"1",2016,"AZE","RUS",2709,28329624.12,"23%",46615571.03,"60.77%"
"2",2016,"AZE","USA",2709,99219.61,"0.079%",46615571.03,"0.21%"
"3",1997,"BLR","RUS",2709,1119683968,"1.2%",1119691228,"100%"
"4",1998,"BLR","RUS",2709,708031531.22,"0.75%",708897330.79,"99.88%"
"5",1999,"BLR","RUS",2709,608830488.23,"0.65%",608830488.23,"100%"
"6",2000,"BLR","RUS",2709,1460429873.5,"1.6%",1460429873.5,"100%"
"7",2001,"BLR","RUS",2709,1234457838.5,"1.3%",1234457838.5,"100%"
"8",2002,"BLR","RUS",2709,1353913352.7,"1.4%",1353913352.7,"100%"
"9",2004,"BLR","RUS",2709,2937187328.7,"3.1%",2937188688.7,"100%"
"10",2005,"BLR","RUS",2709,3845488743.9,"4.1%",3845488743.9,"100%"
"11",2006,"BLR","RUS",2709,5096018305.2,"5.4%",5096018305.2,"100%"
"12",2007,"BLR","RUS",2709,6619451734.4,"7.0%",6619451734.4,"100%"
"13",2008,"BLR","RUS",2709,8692179000.9,"9.2%",8692179000.9,"100%"
"14",2009,"BLR","RUS",2709,6403217115.2,"6.8%",6403217115.2,"100%"
"15",2010,"BLR","RUS",2709,5146590456.3,"5.5%",6159474116.1,"83.56%"
"16",2011,"BLR","RUS",2709,6756296680.4,"7.2%",8434220784.54,"80.11%"
"17",2012,"BLR","RUS",2709,8349180344.5,"8.9%",8628620484.07,"96.76%"
"18",2013,"BLR","RUS",2709,7982195770.3,"8.5%",7982195770.3,"100%"
"19",2014,"BLR","RUS",2709,7748632991.4,"8.2%",7748632991.4,"100%"
"20",2015,"BLR","RUS",2709,5601662559.4,"6.0%",5601981413.4,"99.99%"
"21",2016,"BLR","RUS",2709,3986251394.3,"4.2%",4028666832.06,"98.95%"
"22",2017,"BLR","RUS",2709,5297571521,"5.6%",5318820130.09,"99.6%"
"23",1996,"GEO","RUS",2709,1870899,"0.96%",1870899,"100%"
"24",2000,"GEO","RUS",2709,149950,"0.077%",19511016,"0.77%"
"25",2001,"GEO","RUS",2709,37274,"0.019%",1888447.92,"1.97%"
"26",2002,"GEO","RUS",2709,32721,"0.017%",6005381,"0.54%"
"27",2003,"GEO","RUS",2709,67208,"0.035%",14856826,"0.45%"
"28",2005,"GEO","RUS",2709,15840,"0.0082%",15840,"100%"
"29",2011,"GEO","RUS",2709,1259595,"0.65%",3497204,"36.02%"
"30",2014,"GEO","RUS",2709,1912726,"0.99%",14234742,"13.44%"
"31",2015,"GEO","RUS",2709,7905321.45,"4.1%",46364003.45,"17.05%"
"32",2016,"GEO","RUS",2709,10775788,"5.6%",11561240,"93.21%"
"33",2017,"GEO","RUS",2709,7913780.92,"4.1%",21860682.92,"36.2%"
"34",2017,"GEO","USA",2709,1171399,"0.60%",21860682.92,"5.36%"
"35",1996,"KAZ","RUS",2709,302712800,"1.6%",302712800,"100%"
"36",1997,"KAZ","RUS",2709,145455904,"0.76%",145455904,"100%"
"37",1998,"KAZ","RUS",2709,152060833,"0.80%",152110230,"99.97%"
"38",1999,"KAZ","RUS",2709,28878447,"0.15%",28913734,"99.88%"
"39",2000,"KAZ","RUS",2709,83446387.92,"0.44%",83446387.92,"100%"
"40",2001,"KAZ","RUS",2709,236307450.02,"1.2%",236369260.88,"99.97%"
"41",2002,"KAZ","CHN",2709,69423.75,"0.00037%",238510170.03,"0.03%"
"42",2002,"KAZ","RUS",2709,238440746.28,"1.3%",238510170.03,"99.97%"
"43",2003,"KAZ","RUS",2709,281513790.99,"1.5%",281513790.99,"100%"
"44",2004,"KAZ","RUS",2709,518877374.41,"2.7%",518877374.41,"100%"
"45",2005,"KAZ","RUS",2709,801273380.22,"4.2%",801273380.22,"100%"
"46",2006,"KAZ","RUS",2709,1495284191.8,"7.9%",1495284191.8,"100%"
"47",2007,"KAZ","RUS",2709,1891148463.8,"9.9%",1891150532.8,"100%"
"48",2008,"KAZ","RUS",2709,2514948777.2,"13%",2515781035.82,"99.97%"
"49",2009,"KAZ","RUS",2709,1474742861.7,"7.8%",1474744125.09,"100%"
"50",2010,"KAZ","RUS",2709,1219275698.9,"6.4%",1219275698.9,"100%"
"51",2011,"KAZ","RUS",2709,2259479003.4,"12%",2259479003.4,"100%"
"52",2012,"KAZ","RUS",2709,2291089946.7,"12%",2291091182.7,"100%"
"53",2013,"KAZ","RUS",2709,2844820314.1,"15%",2844822172.1,"100%"
"54",2014,"KAZ","RUS",2709,189106158.87,"0.99%",189261144.53,"99.92%"
"55",2015,"KAZ","RUS",2709,26595025.53,"0.14%",26598499.56,"99.99%"
"56",2016,"KAZ","RUS",2709,4054324.68,"0.021%",4100721.22,"98.87%"
"57",2017,"KAZ","RUS",2709,14763376.03,"0.078%",14763376.03,"100%"
"58",1998,"KGZ","RUS",2709,18401,"0.015%",68208,"26.98%"
"59",1999,"KGZ","RUS",2709,586289,"0.48%",606539,"96.66%"
"60",2004,"KGZ","RUS",2709,11945.37,"0.0099%",1269469.34,"0.94%"
"61",2006,"KGZ","RUS",2709,1354393.79,"1.1%",2779873.88,"48.72%"
"62",2007,"KGZ","RUS",2709,15870952.62,"13%",16870928.62,"94.07%"
"63",2008,"KGZ","RUS",2709,65333866.7,"54%",66204182.98,"98.69%"
"64",2009,"KGZ","RUS",2709,5129354.11,"4.2%",5241767.11,"97.86%"
"65",2010,"KGZ","RUS",2709,5073103.59,"4.2%",5073103.59,"100%"
"66",2013,"KGZ","RUS",2709,53281.5,"0.044%",634413.5,"8.4%"
"67",2014,"KGZ","RUS",2709,1284065,"1.1%",4067058,"31.57%"
"68",2015,"KGZ","RUS",2709,682921.42,"0.56%",698400.72,"97.78%"
"69",2017,"KGZ","RUS",2709,354875.77,"0.29%",599121.35,"59.23%"
"70",1995,"MDA","RUS",2709,135730.22,"3.3%",135730.22,"100%"
"71",1996,"MDA","RUS",2709,12266.69,"0.30%",12266.69,"100%"
"72",1997,"MDA","RUS",2709,1726454,"42%",1726454,"100%"
"73",2001,"MDA","USA",2709,34668.84,"0.84%",34668.84,"100%"
"74",2007,"MDA","RUS",2709,44324.55,"1.1%",336729.94,"13.16%"
"75",2011,"MDA","USA",2709,4757.9,"0.12%",4757.9,"100%"
"76",2008,"TJK","RUS",2709,412267,"0.082%",93343944,"0.44%"
"77",2017,"TKM","RUS",2709,1147,"0.14%",1147,"100%"
"78",1996,"UKR","RUS",2709,651533298.63,"1.3%",821899007.69,"79.27%"
"79",1997,"UKR","RUS",2709,537903925.97,"1.1%",897046148.67,"59.96%"
"80",1997,"UKR","USA",2709,10544922.8,"0.021%",897046148.67,"1.18%"
"81",1998,"UKR","RUS",2709,583185012.73,"1.2%",854647763.06,"68.24%"
"82",1999,"UKR","RUS",2709,593283973.26,"1.2%",726099789.57,"81.71%"
"83",2000,"UKR","RUS",2709,650378170.1,"1.3%",888426460.53,"73.21%"
"84",2001,"UKR","RUS",2709,1354801194.7,"2.7%",1838446498.94,"73.69%"
"85",2002,"UKR","RUS",2709,1924916618.2,"3.9%",2149956740.57,"89.53%"
"86",2003,"UKR","RUS",2709,2838843873,"5.7%",2993966778.31,"94.82%"
"87",2003,"UKR","USA",2709,7180,"0.000014%",2993966778.31,"0%"
"88",2004,"UKR","RUS",2709,4145376999.9,"8.3%",4261467703.82,"97.28%"
"89",2005,"UKR","RUS",2709,4571086965.7,"9.2%",4605306251.7,"99.26%"
"90",2006,"UKR","RUS",2709,4415078490.4,"8.9%",4415078490.4,"100%"
"91",2007,"UKR","RUS",2709,4738616554.8,"9.5%",4738618487.8,"100%"
"92",2008,"UKR","RUS",2709,5595903189.5,"11%",5963059074.41,"93.84%"
"93",2009,"UKR","RUS",2709,3068478721.6,"6.2%",3309241759.26,"92.72%"
"94",2010,"UKR","RUS",2709,3152404326.5,"6.3%",4075668847.7,"77.35%"
"95",2011,"UKR","RUS",2709,3475217691.6,"7.0%",4499192659.43,"77.24%"
"96",2012,"UKR","RUS",2709,563082348.91,"1.1%",1143433170.45,"49.24%"
"97",2013,"UKR","RUS",2709,331041886.47,"0.66%",759228525.06,"43.6%"
"98",2014,"UKR","RUS",2709,204153964.81,"0.41%",234049676.92,"87.23%"
"99",2015,"UKR","RUS",2709,59033,"0.00012%",116174645.77,"0.05%"
"100",2016,"UKR","RUS",2709,1618401,"0.0032%",216158991,"0.75%"
"101",2017,"UKR","RUS",2709,5260757.37,"0.011%",379170109.21,"1.39%"
"102",2008,"UZB","RUS",2709,24921508,"0.92%",388015853,"6.42%"
"103",2015,"UZB","RUS",2709,42456161,"1.6%",66078584,"64.25%"
"104",2016,"UZB","RUS",2709,13596426,"0.50%",67573917,"20.12%"
"105",2017,"UZB","RUS",2709,1001425,"0.037%",78135212,"1.28%"
